,Prum_name,humerus,radius,carpometacarpus,femur,tibiotarsus,tarsometatarsus,ontogeny,Genus,Species,Family,Order,Mass_M_.hbw_alive.,Mass_F_.hbw_alive.,R_name
89,Nyctibius_griseus,63.745892581038,63.5354359797034,27.5687234735016,27.6635944840494,37.6734095653342,7.46447545412587,Altricial_1,Nyctibius,griseus,Nyctibiidae,Caprimulgiformes,173.5,173.5,Nyctibius_griseus_UMMZ_136371
90,Oceanodroma_leucorhoa,36.2959982316635,33.3730259824384,18.0782999259138,15.1774882299996,35.249831699988,23.600841908266,Semiprecocial,Oceanodroma,leucorhoa,Hydrobatidae,Procellariiformes,46,46,Oceanodroma_leucorhoa_NHMUK_S1953.3.10
91,Odontophorus_gujanensis,40.3380966481461,35.4767116801409,21.4995493658373,50.0793927908826,64.0025110095524,41.2738089189139,Precocial_1,Odontophorous,guttatus, Odontophoridae, Galliformes,314,294,Odontophorous_guttatus_UMMZ_210631
92,Opisthocomus_hoazin,65.5385519838771,60.6782835982883,34.0096380642026,59.6659127576466,77.8669179414423,48.5683565133736,Semiprecocial,Opisthocomus,hoazin,Opisthocomidae,Opisthocomiformes,797.5,797.5,Opisthocomus_hoazin_NHMUK_S1961.6.1
93,Ortalis_motmot,64.7784166337812,58.2304257459158,29.6102509222905,72.8912061202507,104.943485155351,68.2104906872504,Precocial_3,Ortalis,ruficauda,Cracidae,Galliformes,615,615,Ortalis_ruficauda_UMMZ_155489
94,Pandion_haliaetus,133.563666592215,165.093541669211,79.5908873209984,67.3574245876525,113.762775994191,47.4572063520751,Semialtricial,Pandion,haliaetus,Pandionidae,Accipitriformes,1395,1625,Pandion_haliaetus_FMNH_437336
95,Pedionomus_torquatus,34.2588197267838,35.8599091657818,16.6052809785663,23.4799877678972,38.7129117711735,23.8988842050756,Precocial_3,Pedionomus,torquatus,Pedionomidae,Charadriiformes,58.5,76,Pedionomus_torquatus_NHMUK_A1970.12.1
96,Pelagodroma_marina,24.4993619888933,20.3617866699361,15.38712588806,16.6908591503894,62.0908310140914,43.9768438386486,Altricial_1,Pelagodroma,marina,Oceanitidae, Procellariiformes,54,54,Pelagodroma_marina_NHMUK_1895.7.1.163_ALL
97,Pelecanoides_urinatrix,41.9646664415679,29.574282672321,20.6522507839733,23.968823910538,41.1158726703322,24.6147171444524,Altricial_1,Pelecanoides,urinatrix?,Procellariidae,Procellariiformes,135.5,135.5,Pelecanoides_urinatrix_NHMUK_S2006.1.14
98,Pelecanus_occidentalis,242.796490309192,283.884266810863,103.85871991704,79.0811150515649,108.475924180564,70.1259437309123,Semialtricial,Pelecanus,occidentalis,Pelecanidae,Pelecaniformes,3500,3500,Pelecanus_occidentalis_NHMUK_S1973.66.16
